description,variables,value,unit,unit(3d histogram),,,,15
Counter for Range within (50 60]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[74],0,(50 60],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[75],0,(50 60],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[69],0,(50 60],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[68],0,(50 60],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[67],0,(50 60],-14,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-17 -15]m/s,vafimr_cnt_ops_rngrtfim[x]_[66],0,(50 60],-16,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-3 -1]m/s,vafimr_cnt_ops_rngrtfim[x]_[73],0,(50 60],-2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (3 5]m/s,vafimr_cnt_ops_rngrtfim[x]_[76],0,(50 60],4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-5 -3]m/s,vafimr_cnt_ops_rngrtfim[x]_[72],0,(50 60],-4,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-7 -5]m/s,vafimr_cnt_ops_rngrtfim[x]_[71],0,(50 60],-6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (50 60]m and Range Rate within (-9 -7]m/s,vafimr_cnt_ops_rngrtfim[x]_[70],0,(50 60],-8,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate 5m/s and greater,vafimr_cnt_ops_rngrtfim[x]_[90],0,(60 70],6,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate equals to or less than -17 m/s,vafimr_cnt_ops_rngrtfim[x]_[78],0,(60 70],-18,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-1 1]m/s,vafimr_cnt_ops_rngrtfim[x]_[87],0,(60 70],0,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (1 3]m/s,vafimr_cnt_ops_rngrtfim[x]_[88],0,(60 70],2,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-11 -9]m/s,vafimr_cnt_ops_rngrtfim[x]_[82],0,(60 70],-10,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-13 -11]m/s,vafimr_cnt_ops_rngrtfim[x]_[81],0,(60 70],-12,0136374_2020-8-20-16-34-15,,,
Counter for Range within (60 70]m and Range Rate within (-15 -13]m/s,vafimr_cnt_ops_rngrtfim[x]_[80],0,(60 70],-14,0136374_2020-8-20-16-34-15,,,
